phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target,candidate,target_command
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.772863371999847,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.005246147999969253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.05002207300003647,0.0,0.55,-0.01,-0.55,-0.02,0.09,0.086,2.169,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
run,0.09478196500003833,0.0,0.95,0.07,0.96,0.04,0.161,-1.565,3.547,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.004584191000049032,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.05931397599988486,740.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.11404788900017593,610.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.16870324199999231,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.22338368600003378,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.2781851220001954,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.332896509999955,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.3897416089998842,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.4444964210001672,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.499392514000192,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.554110909999963,421.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6087711929999386,421.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.6634732369998346,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
stop,0.7181550559998868,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0036, 0.0002, 0.0]",600.0
